author,rank,feature,weight,abs_weight,direction
David Uhlíř,1,fw_vůči,0.22255256310088073,0.22255256310088073,positive
David Uhlíř,2,fw_zda,0.21256310583532811,0.21256310583532811,positive
David Uhlíř,3,fw_také,0.211403547968541,0.211403547968541,positive
David Uhlíř,4,char3_ně ,-0.16630707318908813,0.16630707318908813,negative
David Uhlíř,5,fw_jenž,-0.16359017835720754,0.16359017835720754,negative
David Uhlíř,6,pos2_ADP_DET,0.1628509431505274,0.1628509431505274,positive
David Uhlíř,7,xpos2_AAIP1----1A----_NNIP1-----A----,0.16026626479411707,0.16026626479411707,positive
David Uhlíř,8,pos2_NOUN_CCONJ,0.1587948797767562,0.1587948797767562,positive
David Uhlíř,9,fw_zatímco,0.15515063580962005,0.15515063580962005,positive
David Uhlíř,10,xpos2_RR--3----------_PDZS3----------,0.15344562760124747,0.15344562760124747,positive
David Uhlíř,11,char3_e p,-0.14552604615281783,0.14552604615281783,negative
David Uhlíř,12,fw_před,0.144961593236729,0.144961593236729,positive
David Uhlíř,13,char3_ ko,0.1427267742229426,0.1427267742229426,positive
David Uhlíř,14,char3_e v,0.14193892547512907,0.14193892547512907,positive
David Uhlíř,15,pos2_PUNCT_PRON,-0.14132060429522628,0.14132060429522628,negative
David Uhlíř,16,fw_ačkoliv,0.13749842981714439,0.13749842981714439,positive
David Uhlíř,17,fw_mezi,0.1372730959058565,0.1372730959058565,positive
David Uhlíř,18,char3_nýc,-0.13546100163415115,0.13546100163415115,negative
David Uhlíř,19,xpos2_AANS4----1A----_NNNS4-----A----,0.13342159598912598,0.13342159598912598,positive
David Uhlíř,20,fw_takže,0.13291767987441303,0.13291767987441303,positive
Eliška Wagnerová,1,fw_naopak,0.314163864763853,0.314163864763853,positive
Eliška Wagnerová,2,fw_avšak,0.2666664018091133,0.2666664018091133,positive
Eliška Wagnerová,3,fw_skrz,0.2617067409970491,0.2617067409970491,positive
Eliška Wagnerová,4,fw_vedle,0.2589600118071953,0.2589600118071953,positive
Eliška Wagnerová,5,fw_při,0.24714499991863012,0.24714499991863012,positive
Eliška Wagnerová,6,char3_ ko,0.24525273633879976,0.24525273633879976,positive
Eliška Wagnerová,7,char3_kon,0.23148126924313092,0.23148126924313092,positive
Eliška Wagnerová,8,fw_přesto,0.20487860572482727,0.20487860572482727,positive
Eliška Wagnerová,9,char3_ ve,0.1998526208925231,0.1998526208925231,positive
Eliška Wagnerová,10,pos2_PUNCT_DET,0.19929023033490287,0.19929023033490287,positive
Eliška Wagnerová,11,fw_jen,0.1951837954501353,0.1951837954501353,positive
Eliška Wagnerová,12,pos2_ADV_ADJ,0.19191754735818783,0.19191754735818783,positive
Eliška Wagnerová,13,pos2_ADP_NUM,-0.18509666680331288,0.18509666680331288,negative
Eliška Wagnerová,14,fw_pod,0.18469875209943948,0.18469875209943948,positive
Eliška Wagnerová,15,xpos2_VB-S---3P-AA---_Vf--------A----,0.18301171170338032,0.18301171170338032,positive
Eliška Wagnerová,16,fw_ovšem,0.18241549803372073,0.18241549803372073,positive
Eliška Wagnerová,17,fw_nikdo,-0.18200723138569186,0.18200723138569186,negative
Eliška Wagnerová,18,xpos2_Z:-------------_NNIS2-----A----,0.18033489430548222,0.18033489430548222,positive
Eliška Wagnerová,19,fw_totiž,0.17921845315682608,0.17921845315682608,positive
Eliška Wagnerová,20,pos2_AUX_ADV,0.17814244627801845,0.17814244627801845,positive
Iva Brožová,1,fw_protože,0.14538490730730516,0.14538490730730516,positive
Iva Brožová,2,xpos2_NNMXX-----A---8_Z:-------------,0.14409541084908595,0.14409541084908595,positive
Iva Brožová,3,fw_dle,0.14227409910567212,0.14227409910567212,positive
Iva Brožová,4,xpos2_C=-------------_NNFXX-----A---8,0.13487085549230726,0.13487085549230726,positive
Iva Brožová,5,xpos2_NNIXX-----A---8_Z:-------------,0.1269558657628978,0.1269558657628978,positive
Iva Brožová,6,char3_. 1,0.12330039880777452,0.12330039880777452,positive
Iva Brožová,7,char3_že ,0.12047734570973577,0.12047734570973577,positive
Iva Brožová,8,xpos2_J^-------------_Db-------------,0.11870161634327615,0.11870161634327615,positive
Iva Brožová,9,sent_len_std,0.1100257829919359,0.1100257829919359,positive
Iva Brožová,10,sent_len_mean,0.10680825237559505,0.10680825237559505,positive
Iva Brožová,11,fw_nicméně,0.1044917246250146,0.1044917246250146,positive
Iva Brožová,12,xpos2_Z:-------------_NNMXX-----A---8,0.10443960463511441,0.10443960463511441,positive
Iva Brožová,13,"char3_ , ",0.10081664740294867,0.10081664740294867,positive
Iva Brožová,14,pos2_NOUN_PROPN,0.09840931248988811,0.09840931248988811,positive
Iva Brožová,15,word_len_mean,-0.09656865609773424,0.09656865609773424,negative
Iva Brožová,16,xpos2_C=-------------_NNIXX-----A---8,0.09560642322102447,0.09560642322102447,positive
Iva Brožová,17,"char3_, ž",0.09550736089830911,0.09550736089830911,positive
Iva Brožová,18,char3_ že,0.09419530429228584,0.09419530429228584,positive
Iva Brožová,19,pos2_NUM_NOUN,0.09349573881620112,0.09349573881620112,positive
Iva Brožová,20,word_len_median,-0.09251253119137899,0.09251253119137899,negative
Ivana Janů,1,xpos2_RV--6----------_NNIS6-----A----,0.32553538960720735,0.32553538960720735,positive
Ivana Janů,2,fw_potom,0.30826289689145964,0.30826289689145964,positive
Ivana Janů,3,char3_ ob,0.30419586724631015,0.30419586724631015,positive
Ivana Janů,4,fw_bezpochyby,0.3029268214474374,0.3029268214474374,positive
Ivana Janů,5,fw_pouze,0.29538506056658653,0.29538506056658653,positive
Ivana Janů,6,xpos2_NNIXX-----A---1_C=-------------,0.294557439391542,0.294557439391542,positive
Ivana Janů,7,char3_at ,0.2893019409113174,0.2893019409113174,positive
Ivana Janů,8,fw_i,0.2881094238399361,0.2881094238399361,positive
Ivana Janů,9,fw_na,0.28562701859017353,0.28562701859017353,positive
Ivana Janů,10,fw_bez,-0.2805356789963197,0.2805356789963197,negative
Ivana Janů,11,fw_tedy,-0.27747813955939155,0.27747813955939155,negative
Ivana Janů,12,fw_zdali,0.274091487045607,0.274091487045607,positive
Ivana Janů,13,pos2_DET_VERB,0.27100549965913545,0.27100549965913545,positive
Ivana Janů,14,char3_ i ,0.2707826587762363,0.2707826587762363,positive
Ivana Janů,15,fw_nepochybně,0.26840650541662714,0.26840650541662714,positive
Ivana Janů,16,fw_jen,-0.2576992314539079,0.2576992314539079,negative
Ivana Janů,17,char3_u p,-0.25668629567801,0.25668629567801,negative
Ivana Janů,18,char3_nýc,0.255938497058555,0.255938497058555,positive
Ivana Janů,19,fw_totiž,-0.2514439004795831,0.2514439004795831,negative
Ivana Janů,20,punct_;_per1k,0.2470667083985187,0.2470667083985187,positive
Jan Filip,1,fw_dokud,0.25176798691607166,0.25176798691607166,positive
Jan Filip,2,fw_takže,0.21752208900043568,0.21752208900043568,positive
Jan Filip,3,fw_u,0.2127328175276568,0.2127328175276568,positive
Jan Filip,4,fw_ten,0.18430378068686093,0.18430378068686093,positive
Jan Filip,5,"xpos2_J,-------------_RR--6----------",0.18308891982455855,0.18308891982455855,positive
Jan Filip,6,morph_Tense_Fut,0.17365882957770568,0.17365882957770568,positive
Jan Filip,7,fw_něco,0.1735821157465815,0.1735821157465815,positive
Jan Filip,8,xpos2_Vf--------A----_Z:-------------,0.16173962207349502,0.16173962207349502,positive
Jan Filip,9,xpos2_VB-S---3P-NA---_Z:-------------,0.15638489838999806,0.15638489838999806,positive
Jan Filip,10,pos2_SCONJ_ADP,0.15121602209003118,0.15121602209003118,positive
Jan Filip,11,fw_při,0.15001710364068394,0.15001710364068394,positive
Jan Filip,12,char3_ vě,0.14825363489912413,0.14825363489912413,positive
Jan Filip,13,char3_jak,0.14535404659964166,0.14535404659964166,positive
Jan Filip,14,char3_ ja,0.14136107760549188,0.14136107760549188,positive
Jan Filip,15,fw_přece,0.141236108740674,0.141236108740674,positive
Jan Filip,16,fw_ale,0.13495461814036688,0.13495461814036688,positive
Jan Filip,17,pos2_VERB_PUNCT,0.13068379194387103,0.13068379194387103,positive
Jan Filip,18,fw_jenž,-0.12717474182861765,0.12717474182861765,negative
Jan Filip,19,fw_protože,0.12440816621323442,0.12440816621323442,positive
Jan Filip,20,xpos2_RV--6----------_NNFS6-----A----,0.12416116171792183,0.12416116171792183,positive
Jan Musil,1,word_len_std,0.3543021591473945,0.3543021591473945,positive
Jan Musil,2,xpos2_AAIS6----1A----_NNIS6-----A----,0.25908373244300414,0.25908373244300414,positive
Jan Musil,3,punct_;_per1k,0.24670215230065315,0.24670215230065315,positive
Jan Musil,4,fw_ale,-0.2347385717552679,0.2347385717552679,negative
Jan Musil,5,fw_jestliže,0.23403563665342966,0.23403563665342966,positive
Jan Musil,6,fw_okolo,0.2247519750338452,0.2247519750338452,positive
Jan Musil,7,char3_ ná,0.21280971094435558,0.21280971094435558,positive
Jan Musil,8,char3_na ,-0.20741204050482162,0.20741204050482162,negative
Jan Musil,9,fw_pak,-0.20410626556144876,0.20410626556144876,negative
Jan Musil,10,char3_ na,-0.20242163106950622,0.20242163106950622,negative
Jan Musil,11,char3_led,-0.20072447896663714,0.20072447896663714,negative
Jan Musil,12,pos2_DET_ADJ,0.20058825685505338,0.20058825685505338,positive
Jan Musil,13,xpos2_VB-S---3P-AA---_Vf--------A----,0.19880173004481577,0.19880173004481577,positive
Jan Musil,14,sent_len_mean,-0.197509158613128,0.197509158613128,negative
Jan Musil,15,pos2_PUNCT_ADJ,0.19508539105157044,0.19508539105157044,positive
Jan Musil,16,pos2_CCONJ_ADP,0.1895113798453022,0.1895113798453022,positive
Jan Musil,17,fw_tento,0.18618057552126838,0.18618057552126838,positive
Jan Musil,18,fw_při,0.18434863320725367,0.18434863320725367,positive
Jan Musil,19,"punct_""_per1k",0.1790196365630116,0.1790196365630116,positive
Jan Musil,20,xpos2_Z:-------------_J^-------------,-0.17819187448129398,0.17819187448129398,negative
Jiří Nykodým,1,fw_toho,0.37384775560478234,0.37384775560478234,positive
Jiří Nykodým,2,fw_ovšem,0.23552453951441354,0.23552453951441354,positive
Jiří Nykodým,3,fw_čili,0.22087080778471926,0.22087080778471926,positive
Jiří Nykodým,4,char3_pří,0.21597743886178775,0.21597743886178775,positive
Jiří Nykodým,5,pos2_NUM_ADP,0.20744998254155506,0.20744998254155506,positive
Jiří Nykodým,6,char3_pod,-0.19052021063368005,0.19052021063368005,negative
Jiří Nykodým,7,fw_nyní,0.1850838902112971,0.1850838902112971,positive
Jiří Nykodým,8,fw_jen,0.18327519810164983,0.18327519810164983,positive
Jiří Nykodým,9,xpos2_AAIS4----1A----_NNIS4-----A----,0.18076421678100024,0.18076421678100024,positive
Jiří Nykodým,10,pos2_ADJ_CCONJ,0.1753063831789753,0.1753063831789753,positive
Jiří Nykodým,11,fw_poté,0.1662358536815672,0.1662358536815672,positive
Jiří Nykodým,12,fw_do,0.162171460790991,0.162171460790991,positive
Jiří Nykodým,13,fw_však,-0.1527142818888451,0.1527142818888451,negative
Jiří Nykodým,14,fw_i,-0.15260332009126637,0.15260332009126637,negative
Jiří Nykodým,15,char3_ i ,-0.15165129391597507,0.15165129391597507,negative
Jiří Nykodým,16,char3_ ve,0.14906217367139385,0.14906217367139385,positive
Jiří Nykodým,17,xpos2_VB-S---3P-AA---_RR--4----------,0.14901619364682875,0.14901619364682875,positive
Jiří Nykodým,18,char3_ vě,-0.14690140943571736,0.14690140943571736,negative
Jiří Nykodým,19,char3_ př,0.13703081765688413,0.13703081765688413,positive
Jiří Nykodým,20,xpos2_Z:-------------_NNIXX-----A---8,0.13288720465593548,0.13288720465593548,positive
Jiří Zemánek,1,fw_jakmile,0.260854876854084,0.260854876854084,positive
Jiří Zemánek,2,fw_přestože,0.24613641217958165,0.24613641217958165,positive
Jiří Zemánek,3,sent_len_mean,0.22557331154368376,0.22557331154368376,positive
Jiří Zemánek,4,sent_len_max,0.2161165704865183,0.2161165704865183,positive
Jiří Zemánek,5,char3_že ,-0.2130680128881301,0.2130680128881301,negative
Jiří Zemánek,6,sent_len_median,0.19429899388545382,0.19429899388545382,positive
Jiří Zemánek,7,char3_ako,0.19012971946606452,0.19012971946606452,positive
Jiří Zemánek,8,pos2_NUM_ADP,0.18246180204948317,0.18246180204948317,positive
Jiří Zemánek,9,fw_kvůli,0.1805420246310968,0.1805420246310968,positive
Jiří Zemánek,10,sent_len_std,0.1768822119960061,0.1768822119960061,positive
Jiří Zemánek,11,"char3_, ž",-0.1750709933199672,0.1750709933199672,negative
Jiří Zemánek,12,fw_už,0.17264799065982206,0.17264799065982206,positive
Jiří Zemánek,13,char3_ že,-0.17213296259450397,0.17213296259450397,negative
Jiří Zemánek,14,word_len_median,0.16733742437840982,0.16733742437840982,positive
Jiří Zemánek,15,fw_že,-0.1666489613231908,0.1666489613231908,negative
Jiří Zemánek,16,xpos2_AAIS6----1A----_NNIS6-----A----,0.1645366624982333,0.1645366624982333,positive
Jiří Zemánek,17,pos2_NOUN_NOUN,0.16424888166915233,0.16424888166915233,positive
Jiří Zemánek,18,xpos2_Z:-------------_NNIXX-----A---8,0.15164027221478668,0.15164027221478668,positive
Jiří Zemánek,19,pos2_PUNCT_ADJ,0.15080469849427186,0.15080469849427186,positive
Jiří Zemánek,20,xpos2_Z:-------------_NNIS2-----A----,0.15037521385593322,0.15037521385593322,positive
Josef Fiala,1,pos2_ADP_PROPN,0.24289866175750302,0.24289866175750302,positive
Josef Fiala,2,char3_pra,0.22714919200768963,0.22714919200768963,positive
Josef Fiala,3,fw_vůči,0.1982039479727724,0.1982039479727724,positive
Josef Fiala,4,xpos2_AAIS6----1A----_NNIS6-----A---1,0.17962570595369468,0.17962570595369468,positive
Josef Fiala,5,xpos2_NNIS6-----A---1_Z:-------------,0.1756255820354453,0.1756255820354453,positive
Josef Fiala,6,pos2_VERB_PRON,-0.1749927425675729,0.1749927425675729,negative
Josef Fiala,7,morph_Mood_Imp,0.17267401692967876,0.17267401692967876,positive
Josef Fiala,8,char3_ 20,0.16380007107907968,0.16380007107907968,positive
Josef Fiala,9,xpos2_NNNXX-----A----_Z:-------------,0.16203108643119096,0.16203108643119096,positive
Josef Fiala,10,char3_pod,0.15845840791421562,0.15845840791421562,positive
Josef Fiala,11,pos2_ADJ_ADV,-0.1555357710491842,0.1555357710491842,negative
Josef Fiala,12,fw_když,-0.14640972343447445,0.14640972343447445,negative
Josef Fiala,13,char3_ast,0.1448082006620625,0.1448082006620625,positive
Josef Fiala,14,xpos2_Z:-------------_RR--6----------,0.14298768341582085,0.14298768341582085,positive
Josef Fiala,15,sent_len_median,-0.14239722769342414,0.14239722769342414,negative
Josef Fiala,16,pos2_ADV_CCONJ,-0.1389117018056584,0.1389117018056584,negative
Josef Fiala,17,char3_hod,0.13533656923978443,0.13533656923978443,positive
Josef Fiala,18,pos2_ADV_ADV,-0.13305963212329347,0.13305963212329347,negative
Josef Fiala,19,char3_ate,0.12955900647604893,0.12955900647604893,positive
Josef Fiala,20,char3_udu,0.1279226618928226,0.1279226618928226,positive
Kateřina Šimáčková,1,sent_count,0.34516647621355756,0.34516647621355756,positive
Kateřina Šimáčková,2,fw_napříč,0.24881733946086151,0.24881733946086151,positive
Kateřina Šimáčková,3,char3_ván,0.2415990227529449,0.2415990227529449,positive
Kateřina Šimáčková,4,char3_kov,0.22727332445621673,0.22727332445621673,positive
Kateřina Šimáčková,5,char3_ová,0.21913607909372856,0.21913607909372856,positive
Kateřina Šimáčková,6,morph_Degree_Cmp,0.18999657533915443,0.18999657533915443,positive
Kateřina Šimáčková,7,char3_ání,0.17518840479196773,0.17518840479196773,positive
Kateřina Šimáčková,8,fw_do,0.1517334786409026,0.1517334786409026,positive
Kateřina Šimáčková,9,xpos2_AAFP2----1A----_NNFP2-----A----,0.14361996990534015,0.14361996990534015,positive
Kateřina Šimáčková,10,morph_Degree_Pos,-0.13946302706651717,0.13946302706651717,negative
Kateřina Šimáčková,11,char3_pra,0.1392652007105472,0.1392652007105472,positive
Kateřina Šimáčková,12,morph_Gender_Masc,-0.1367414169743701,0.1367414169743701,negative
Kateřina Šimáčková,13,fw_tedy,0.13417235772358824,0.13417235772358824,positive
